URL,Winner,Loser,Score
/68989/team-liquid-vs-gambit-esports-champions-tour-stage-1-emea-challengers-week-1,GMB,TL,['2' '0']
/68991/funplus-phoenix-vs-big-champions-tour-stage-1-emea-challengers-week-1,FPX,BIG,['2' '1']
/68993/natus-vincere-vs-ldn-utd-champions-tour-stage-1-emea-challengers-week-1,NAVI,LDN,['2' '0']
/68995/funplus-phoenix-vs-gambit-esports-champions-tour-stage-1-emea-challengers-week-2,FPX,GMB,['2' '1']
/68997/ldn-utd-vs-big-champions-tour-stage-1-emea-challengers-week-2,LDN,BIG,['2' '1']
/69000/natus-vincere-vs-team-liquid-champions-tour-stage-1-emea-challengers-week-2,TL,NAVI,['2' '1']
/69008/ldn-utd-vs-team-liquid-champions-tour-stage-1-emea-challengers-week-4,TL,LDN,['2' '0']
/69015/funplus-phoenix-vs-team-liquid-champions-tour-stage-1-emea-challengers-week-5,FPX,TL,['2' '0']
/69017/natus-vincere-vs-big-champions-tour-stage-1-emea-challengers-week-5,NAVI,BIG,['2' '1']
/69003/ldn-utd-vs-funplus-phoenix-champions-tour-stage-1-emea-challengers-week-3,LDN,FPX,['2' '1']
/69006/big-vs-team-liquid-champions-tour-stage-1-emea-challengers-week-3,TL,BIG,['2' '0']
/69005/natus-vincere-vs-m3-champions-champions-tour-stage-1-emea-challengers-week-3,M3C,NAVI,['2' '0']
/69011/big-vs-m3-champions-champions-tour-stage-1-emea-challengers-week-4,M3C,BIG,['2' '0']
/69009/natus-vincere-vs-funplus-phoenix-champions-tour-stage-1-emea-challengers-week-4,FPX,NAVI,['2' '1']
/69013/m3-champions-vs-ldn-utd-champions-tour-stage-1-emea-challengers-week-5,M3C,LDN,['2' '0']
/68990/g2-esports-vs-fnatic-champions-tour-stage-1-emea-challengers-week-1,FNC,G2,['2' '1']
/68992/supermassive-blaze-vs-acend-champions-tour-stage-1-emea-challengers-week-1,ACE,SMB,['2' '0']
/68994/bbl-esports-vs-guild-esports-champions-tour-stage-1-emea-challengers-week-1,GLD,BBL,['2' '0']
/68996/guild-esports-vs-acend-champions-tour-stage-1-emea-challengers-week-2,GLD,ACE,['2' '1']
/68998/bbl-esports-vs-fnatic-champions-tour-stage-1-emea-challengers-week-2,FNC,BBL,['2' '0']
/68999/g2-esports-vs-supermassive-blaze-champions-tour-stage-1-emea-challengers-week-2,G2,SMB,['2' '0']
/69007/bbl-esports-vs-supermassive-blaze-champions-tour-stage-1-emea-challengers-week-4,BBL,SMB,['2' '0']
/69010/g2-esports-vs-acend-champions-tour-stage-1-emea-challengers-week-4,ACE,G2,['2' '1']
/69018/supermassive-blaze-vs-fnatic-champions-tour-stage-1-emea-challengers-week-5,FNC,SMB,['2' '0']
/69004/g2-esports-vs-bbl-esports-champions-tour-stage-1-emea-challengers-week-3,G2,BBL,['2' '0']
/69001/guild-esports-vs-supermassive-blaze-champions-tour-stage-1-emea-challengers-week-3,GLD,SMB,['2' '1']
/69002/acend-vs-fnatic-champions-tour-stage-1-emea-challengers-week-3,FNC,ACE,['2' '0']
/69014/g2-esports-vs-guild-esports-champions-tour-stage-1-emea-challengers-week-5,G2,GLD,['2' '0']
/69016/bbl-esports-vs-acend-champions-tour-stage-1-emea-challengers-week-5,BBL,ACE,['2' '1']
/69012/guild-esports-vs-fnatic-champions-tour-stage-1-emea-challengers-week-4,FNC,GLD,['2' '1']
