Team,Rec,MAP,RND,RD,Group
United States,5–0,10/3,154/101,+53,Group A
United States,4–1,9/4,143/115,+28,Group A
United States,3–2,8/5,140/127,+13,Group A
United States,2–3,4/8,120/143,-23,Group A
United States,1–4,5/8,127/153,-26,Group A
United States,0–5,2/10,106/151,-45,Group A
Canada,5–0,10/2,144/92,+52,Group B
United States,3–2,8/5,143/114,+29,Group B
United States,3–2,7/7,149/155,-6,Group B
United States,2–3,5/7,107/132,-25,Group B
United States,1–4,5/8,131/145,-14,Group B
United States,1–4,3/9,109/145,-36,Group B
